team_id,team_display_name,race_count,percentage,gold_league_drive_time,gold_league_percentage,total_league_time
-306961,Scopum Racing E-Sports Team Silver,1,0.0,0.0,0.0,0.0
-158916,Over The Limit racing,1,0.0,0.0,0.0,0.0
-305563,Scopum Racing E-Sport Team Silver,1,0.0,0.0,0.0,0.0
-286482,Kairos eSports #229,2,37.0,28584.03,66.0,43114.8254
-299312,CM x MSi Gaming GT3,2,70.0,17987.85,42.0,43114.8254
-127445,LEO RACING TEAM #221,3,100.0,61533.89000000001,86.0,71748.7664
-129672,LEO RACING TEAM #208,3,99.0,69463.34,97.0,71748.7664
-96989,Chicane Online Racing Red,3,100.0,69165.87,96.0,71748.7664
-223528,SimVision,3,98.0,69741.04000000001,97.0,71748.7664
-299638,Ingersoll Rand Enosis eSports #215,3,98.0,70459.76999999999,98.0,71748.7664
-218497,Blue Chip Racing,3,73.0,38701.84,54.0,71748.7664
-278379,Platinum Racing Team Orange,3,99.0,69998.45999999999,98.0,71748.7664
-129653,Octopus Racing Team,3,94.0,53159.53,74.0,71748.7664
-134184,GROW RACING TEAM RED,3,77.0,64246.07000000001,90.0,71748.7664
-257782,PROTOSIM #3,3,24.0,6848.57,24.0,28633.941
-299092,YS Sim-Sport PEC,3,48.0,13823.12,48.0,28633.941
-272629,Platinum Racing Team red,3,37.0,10645.2,37.0,28633.941
-159910,Austrian Simracers Red,2,98.0,46374.84,92.0,50173.0983
-257829,SR TECHNIC #PEC,3,30.0,15362.580000000002,31.0,50209.6091
-247532,Krips Racing Green,3,70.0,53346.37,74.0,71748.7664
-62993,Fury Simsport Academy,3,96.0,50711.020000000004,71.0,71748.7664
-302748,Platinum Racing Team White,2,98.0,42544.22,85.0,50173.0983
-257830,SR TECHNIC,3,34.0,35226.13,49.0,71748.7664
-175849,Maniti Racing Yellow,3,37.0,32494.34,45.0,71748.7664
-243021,Elite Racing Team,3,0.0,20811.63,96.0,21575.6681
-252527,Krips Racing Blue,3,0.0,4816.77,22.0,21539.1573
-140651,Chicane Online Racing Orange,3,0.0,0.0,0.0,0.0
-214868,Sissi State Punks Racing,3,0.0,0.0,0.0,0.0
-110547,Carbono eSports,3,7.0,43836.89,61.0,71748.7664
-280178,Trackside Esports,3,0.0,0.0,0.0,0.0
-258771,PROTOSIM #2,3,0.0,20884.6,48.0,43114.8254
-298040,Peaky Drivers GT3,3,0.0,16256.67,75.0,21575.6681
-159911,Austrian Simracers Blue,3,0.0,5620.94,26.0,21575.6681
-264062,Team Upstate GT3,3,0.0,8198.49,38.0,21539.1573
-297670,TR Geekz Energy Simracing GT3,3,0.0,0.0,0.0,0.0
