"cust_id","display_name","latest_iRating","car_class_name","car_number","team_id","team_display_name","gtp","lmp2","gt3pro","gt3am"
"348052","Aritz Paz","4314","IMSA23","274","-321313","Enosis eSports","True","True","True","No"
"19254","Cesar Carregal","4271","IMSA23","274","-321313","Enosis eSports","True","True","True","No"
"794190","Pedro Oliveira Vig?rio","5111","IMSA23","220","-293255","AZR Motorsport","True","True","True","No"
"623248","Diogo F Teodoro","4304","IMSA23","220","-293255","AZR Motorsport","True","True","True","No"
"796249","Guilherme Costa Reis","3823","IMSA23","220","-293255","AZR Motorsport","True","True","True","No"
"278489","Paulo J Fonseca","4622","IMSA23","220","-293255","AZR Motorsport","True","True","True","No"
"602947","Daniel Cruz4","4330","IMSA23","299","-143359","CORE MOTORSPORTS","True","True","True","No"
"344701","Orlando Telheiro","5205","IMSA23","299","-143359","CORE MOTORSPORTS","True","True","True","No"
"376896","Hugo Mendes","3395","IMSA23","299","-143359","CORE MOTORSPORTS","True","True","True","Gold"
"376121","Marco M Mendes","5511","IMSA23","299","-143359","CORE MOTORSPORTS","True","True","True","No"
"360017","Celio Mendes","3427","IMSA23","299","-143359","CORE MOTORSPORTS","True","True","True","Gold"
"590994","Charlie Lund Nilsson","7357","IMSA23","210","-161911","RPM Racing","True","True","True","No"
"889286","Tom Cecchetto","5423","IMSA23","210","-161911","RPM Racing","True","True","True","No"
"794445","Rasmus Uustulnd","5190","IMSA23","210","-161911","RPM Racing","True","True","True","No"
"548858","Kris Tapio","4202","IMSA23","210","-161911","RPM Racing","True","True","True","No"
"595283","Patrick Gannon","4669","IMSA23","210","-161911","RPM Racing","True","True","True","No"
"604599","Daan Pepels","3300","IMSA23","218","-339602","SimRace Sweden eSports","True","True","True","Gold"
"686915","Nick Kerstens","3251","IMSA23","218","-339602","SimRace Sweden eSports","True","True","True","Gold"
"735433","Steven Van Kampen","2387","IMSA23","218","-339602","SimRace Sweden eSports","False","True","True","Silver"
"737017","Andre Campanholo","2417","IMSA23","334","-90490","LITHIUM Motorsports AM","False","True","True","Silver"
"611888","Milo Speelman","2528","IMSA23","334","-90490","LITHIUM Motorsports AM","True","True","True","Silver"
"311084","Philip Madsen2","2313","IMSA23","334","-90490","LITHIUM Motorsports AM","False","True","True","Silver"
"58540","Blake Aaron","2191","IMSA23","334","-90490","LITHIUM Motorsports AM","False","True","True","Silver"
"327245","Paolo Ernesto Taddeolini","3289","IMSA23","269","-194545","CODE ESPORT","True","True","True","Gold"
"593868","Stefano Narcisi","4821","IMSA23","269","-194545","CODE ESPORT","True","True","True","No"
"564555","Mauro Dragoni","2699","IMSA23","269","-194545","CODE ESPORT","True","True","True","Silver"
"543930","Kevin Nguyen5","3005","IMSA23","234","-53704","LITHIUM Motorsports","True","True","True","Gold"
"380152","Zachary Livengood","2803","IMSA23","234","-53704","LITHIUM Motorsports","True","True","True","Gold"
"159916","Vincent C. Marsh","2372","IMSA23","234","-53704","LITHIUM Motorsports","False","True","True","Silver"
"666727","Vladislav T Shopov","6779","IMSA23","278","-272730","Negative Delta by SimGear.bg","True","True","True","No"
"547306","Ventsislav Raychinov","3040","IMSA23","278","-272730","Negative Delta by SimGear.bg","True","True","True","Gold"
"835504","Kris B Vrazhilov","3769","IMSA23","278","-272730","Negative Delta by SimGear.bg","True","True","True","No"
"390003","?scar Gonz?lez","2611","IMSA23","366","-345520","Carbono eSports JD GT3 Am","True","True","True","Silver"
"227444","Sergio Ochoa Exp?sito","2444","IMSA23","366","-345520","Carbono eSports JD GT3 Am","False","True","True","Silver"
"631768","Gilberto J Alleyne","2435","IMSA23","366","-345520","Carbono eSports JD GT3 Am","False","True","True","Silver"
"319494","Sascha Delic","2382","IMSA23","207","-334736","Firefly eRacing Blue","False","True","True","Silver"
"695052","Severin Bruderer","5067","IMSA23","207","-334736","Firefly eRacing Blue","True","True","True","No"
"265811","Marcel N?rnberg2","2057","IMSA23","207","-334736","Firefly eRacing Blue","False","True","True","Silver"
"301392","Fabian Lorenz","2727","IMSA23","207","-334736","Firefly eRacing Blue","True","True","True","Silver"
"607792","Marco Lettenbauer","3549","IMSA23","207","-334736","Firefly eRacing Blue","True","True","True","No"
"285765","Alexander Weitzel","5099","GTP","11","-59862","GermanSimRacing.de","True","True","True","No"
"681570","Dylan Bittmann","4764","GTP","11","-59862","GermanSimRacing.de","True","True","True","No"
"328602","Jens Homann","5754","GTP","11","-59862","GermanSimRacing.de","True","True","True","No"
"371951","Lars W?tzig","3924","GTP","11","-59862","GermanSimRacing.de","True","True","True","No"
"804793","Stan Gebel","3599","GTP","11","-59862","GermanSimRacing.de","True","True","True","No"
"857815","Lemi Mischke","4194","IMSA23","276","-346150","Reiter Engineering Esports GT3","True","True","True","No"
"555223","Gianni Pirone","4781","IMSA23","276","-346150","Reiter Engineering Esports GT3","True","True","True","No"
"760355","Philipp Spes2","2387","IMSA23","276","-346150","Reiter Engineering Esports GT3","False","True","True","Silver"
"601678","Jack James2","2899","IMSA23","276","-346150","Reiter Engineering Esports GT3","True","True","True","Gold"
"311045","David Narbonne","2194","IMSA23","391","-230731","SMURF RACING TEAM#391","False","True","True","Silver"
"324933","Stephane Henriques","1743","IMSA23","391","-230731","SMURF RACING TEAM#391","False","False","True","Silver"
"412258","Yeshal Yunus","4090","IMSA23","211","-182156","RPM Racing Orange","True","True","True","No"
"591171","Pedro Teixeira Machado","5472","IMSA23","211","-182156","RPM Racing Orange","True","True","True","No"
"415308","Nicholas Tong2","3267","IMSA23","211","-182156","RPM Racing Orange","True","True","True","Gold"
"545414","Brack Crouch","2706","IMSA23","211","-182156","RPM Racing Orange","True","True","True","Silver"
