team_id,cust_id,display_name,finish_position,finish_position_in_class,laps_lead,laps_complete,opt_laps_complete,interval,class_interval,average_lap,best_lap_num,best_lap_time,position,starting_position,starting_position_in_class,car_class_id,car_class_name,car_class_short_name,club_id,club_name,club_shortname,incidents,car_id,car_name,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time,percentage
-62993,656823,Rink Wilbrink Sr,18,5,0,62,0,-1,-1,1073866,179,1050347,18,27,11,58011,GT3-PEC,GT3-PEC,40,Benelux,Benelux,17,132,BMW M4 GT3,Fury Simsport Academy,0,6,Race,0,RACE,57,107.4216298,192.0037216,6123.0329,107.3866,6657.9692,192.0663538,42676.0007,14.35%
-280178,686915,Nick Kerstens,19,6,0,178,0,-1,-1,1075340,296,1044282,19,25,9,58011,GT3-PEC,GT3-PEC,40,Benelux,Benelux,16,144,Ferrari 488 GT3 Evo 2020,Trackside Esports,0,6,Race,0,RACE,173,107.1547618,192.4819051,18537.7738,107.534,19141.052,191.8030828,42676.0007,43.44%
-280178,127270,Simon Van  Dijk,19,6,0,162,0,-1,-1,1076445,356,1048144,19,25,9,58011,GT3-PEC,GT3-PEC,40,Benelux,Benelux,16,144,Ferrari 488 GT3 Evo 2020,Trackside Esports,0,6,Race,0,RACE,156,107.6667603,191.5665769,16796.0146,107.6445,17438.409,191.6061917,42676.0007,39.36%
-280178,451680,Kris van Strijland,19,6,0,60,0,-1,-1,1082498,173,1059794,19,25,9,58011,GT3-PEC,GT3-PEC,40,Benelux,Benelux,7,144,Ferrari 488 GT3 Evo 2020,Trackside Esports,0,6,Race,0,RACE,59,108.2497847,190.5348149,6386.7373,108.2498,6494.988,190.5347881,42676.0007,14.97%
-232258,621117,Artur Loureiro,20,7,0,145,0,-1,-1,1077783,209,1051548,20,32,16,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,12,132,BMW M4 GT3,SIMVISION #228,0,6,Race,0,RACE,143,107.7783014,191.3683222,15412.2971,107.7783,15627.8535,191.3683246,42676.0007,36.11%
-232258,858949,Gonçalo C Ferreira,20,7,0,141,0,-1,-1,1075505,272,1046848,20,32,16,58011,GT3-PEC,GT3-PEC,40,Benelux,Benelux,13,132,BMW M4 GT3,SIMVISION #228,0,6,Race,0,RACE,138,107.5505493,191.7735692,14841.9758,107.5505,15164.6205,191.7736571,42676.0007,34.78%
-232258,641212,Pedro M Oliveira,20,7,0,113,0,-1,-1,1070391,321,1048039,20,32,16,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,10,132,BMW M4 GT3,SIMVISION #228,0,6,Race,0,RACE,111,107.039118,192.6898604,11881.3421,107.0391,12095.4183,192.6898928,42676.0007,27.84%
-298040,635842,Rolf Olmo,21,8,0,122,0,-1,-1,1073296,396,1047287,21,33,17,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,6,132,BMW M4 GT3,Peaky Drivers GT3,0,6,Race,0,RACE,119,107.3296294,192.1683026,12772.2259,107.3296,13094.2112,192.1683553,42676.0007,29.93%
-298040,665522,Víctor Sánchez Fernández,21,8,0,93,0,-1,-1,1066886,301,1047957,21,33,17,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,15,132,BMW M4 GT3,Peaky Drivers GT3,0,6,Race,0,RACE,90,106.6885589,193.3230041,9601.9703,106.6886,9922.0398,193.3229296,42676.0007,22.50%
-298040,384294,Sergio Gomez Redondo,21,8,0,93,0,-1,-1,1072405,209,1054842,21,33,17,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,6,132,BMW M4 GT3,Peaky Drivers GT3,0,6,Race,0,RACE,90,107.2405078,192.328003,9651.6457,107.2405,9973.3665,192.328017,42676.0007,22.62%
-298040,581448,Fran Reaza,21,8,0,90,0,-1,-1,1073018,182,1055959,21,33,17,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,10,132,BMW M4 GT3,Peaky Drivers GT3,0,6,Race,0,RACE,87,107.3017598,192.2182148,9335.2531,107.3018,9657.162,192.2181427,42676.0007,21.87%
