team_id,team_display_name,race_count,percentage,gold_league_drive_time,gold_league_percentage,total_league_time
-159910,Austrian Simracers Red,1,84.0,18196.39,84.0,21539.1573
-96989,Chicane Online Racing Red,1,90.0,19409.28,90.0,21539.1573
-129672,LEO RACING TEAM #208,1,94.0,20414.46,95.0,21539.1573
-247532,Krips Racing Green,1,80.0,17148.7,80.0,21539.1573
-62993,Fury Simsport Academy,1,41.0,9090.86,42.0,21539.1573
-110547,Carbono eSports,1,99.0,21379.95,99.0,21539.1573
-223528,SimVision,1,97.0,20938.62,97.0,21539.1573
-258771,PROTOSIM #2,1,53.0,11347.11,53.0,21539.1573
-299638,Ingersoll Rand Enosis eSports #215,1,96.0,20717.22,96.0,21539.1573
-129653,Octopus Racing Team,1,92.0,19942.72,93.0,21539.1573
-286482,Kairos eSports #229,1,95.0,20481.83,95.0,21539.1573
-257830,SR TECHNIC,1,66.0,14202.43,66.0,21539.1573
-175849,Maniti Racing Yellow,1,36.0,7690.56,36.0,21539.1573
-299312,CM x MSi Gaming GT3,1,13.0,2886.77,13.0,21539.1573
-278379,Platinum Racing Team Orange,1,94.0,20345.0,94.0,21539.1573
-252527,Krips Racing Blue,1,22.0,4816.77,22.0,21539.1573
-134184,GROW RACING TEAM RED,1,97.0,20836.050000000003,97.0,21539.1573
-302748,Platinum Racing Team White,1,67.0,14473.970000000001,67.0,21539.1573
-264062,Team Upstate GT3,1,38.0,8198.49,38.0,21539.1573
-257829,SR TECHNIC #PEC,1,0.0,0.0,0.0,0.0
-280178,Trackside Esports,1,0.0,0.0,0.0,0.0
-140651,Chicane Online Racing Orange,1,0.0,0.0,0.0,0.0
-218497,Blue Chip Racing,1,45.0,9693.6,45.0,21539.1573
-272629,Platinum Racing Team red,1,0.0,0.0,0.0,0.0
-243021,Elite Racing Team,1,0.0,0.0,0.0,0.0
-159911,Austrian Simracers Blue,1,0.0,0.0,0.0,0.0
-127445,LEO RACING TEAM #221,1,55.0,11899.27,55.0,21539.1573
-257782,PROTOSIM #3,1,0.0,0.0,0.0,0.0
-214868,PeakSimsportAustria,1,0.0,0.0,0.0,0.0
-298040,Peaky Drivers GT3,1,0.0,0.0,0.0,0.0
-299092,YS Sim-Sport PEC,1,0.0,0.0,0.0,0.0
-297670,TR Geekz Energy Simracing GT3,1,0.0,0.0,0.0,0.0
-306961,Scopum Racing E-Sports Team Silver,1,0.0,0.0,0.0,0.0
-158916,Over The Limit racing,1,0.0,0.0,0.0,0.0
-305563,Scopum Racing E-Sport Team Silver,1,0.0,0.0,0.0,0.0
