group_id,name,cust_id,display_name,lap_number,flags,incident,session_time,session_start_time,lap_time,team_fastest_lap,personal_best_lap,license_level,car_number,lap_events
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,0,6,True,9876713,,-1,False,False,20,3,"['pitted', 'off track']"
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,1,0,False,11134975,,1258262,False,False,20,3,[]
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,2,4,True,12397553,,1262578,False,False,20,3,['off track']
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,3,0,False,13671136,,1273583,False,False,20,3,[]
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,4,4,True,14933333,,1262197,False,False,20,3,['off track']
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,5,4,True,16203333,,1270000,False,False,20,3,['off track']
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,6,0,False,17474607,,1271274,False,False,20,3,[]
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,7,4,True,18740234,,1265627,False,False,20,3,['off track']
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,8,0,False,20008142,,1267908,False,False,20,3,[]
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,9,0,False,21272777,,1264635,False,False,20,3,[]
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,10,4,True,22535549,,1262772,False,False,20,3,['off track']
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,11,0,False,23798757,,1263208,False,False,20,3,[]
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,12,407,True,26132764,,-1,False,False,20,3,"['invalid', 'pitted', 'off track', 'car reset', 'lost control', 'discontinuity']"
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,13,4,True,27377412,,1244648,False,False,20,3,['off track']
-143359,CORE MOTORSPORTS,602947,Daniel Cruz4,14,0,False,28620379,,1242967,True,True,20,3,[]
-51180,Team Joe Mugford,121111,Joe Mugford,0,2,False,8527050,,-1,False,False,20,69,['pitted']
-51180,Team Joe Mugford,121111,Joe Mugford,1,0,False,9805185,,1278135,False,False,20,69,[]
-51180,Team Joe Mugford,121111,Joe Mugford,2,0,False,11075619,,1270434,False,False,20,69,[]
-51180,Team Joe Mugford,121111,Joe Mugford,3,0,False,12353020,,1277401,False,False,20,69,[]
-51180,Team Joe Mugford,121111,Joe Mugford,4,0,False,13621805,,1268785,False,False,20,69,[]
-51180,Team Joe Mugford,121111,Joe Mugford,5,4,True,14894807,,1273002,False,False,20,69,['off track']
-51180,Team Joe Mugford,121111,Joe Mugford,6,4,True,16164174,,1269367,False,False,20,69,['off track']
-51180,Team Joe Mugford,121111,Joe Mugford,7,0,False,17433894,,1269720,False,False,20,69,[]
-51180,Team Joe Mugford,121111,Joe Mugford,8,4,True,18704549,,1270655,False,False,20,69,['off track']
-51180,Team Joe Mugford,121111,Joe Mugford,9,0,False,19972431,,1267882,False,False,20,69,[]
-51180,Team Joe Mugford,121111,Joe Mugford,10,4,True,21247037,,1274606,False,False,20,69,['off track']
-51180,Team Joe Mugford,121111,Joe Mugford,11,2,False,22622715,,1375678,False,False,20,69,['pitted']
