team_id,team_display_name,cust_id,display_name,classification,percentage,avg_speed,total_time,total_session_time
-257829,SR TECHNIC #PEC,851324,Martim Vieira,Silver,19.0,186,5487,28678
-257829,SR TECHNIC #PEC,907100,Nuno Magalhães2,Silver,21.0,145,5934,28678
-257829,SR TECHNIC #PEC,25377,Aurelio Carneiro,Silver,11.0,190,3268,28678
-117499,Carbono eSports JD Army,498058,Alberto Moreno S,Gold,45.0,189,12829,28678
-117499,Carbono eSports JD Army,364474,Rubens Llorente,Gold,25.0,189,7098,28678
-266694,Koi Racing Blue,549048,Maxim Merzlyakov,Gold,2.0,172,465,28678
-266694,Koi Racing Blue,524446,Nikita Krajcik,Silver,0.0,0,0,28678
-266694,Koi Racing Blue,832124,Dima Laweyr,Silver,0.0,0,0,28678
-295369,F Racing #GT3,369778,Luis Filipe Pinto,Gold,22.0,183,6331,28678
-266757,Koi Racing Red,290951,Bogdan Yurevich Gontarenko,Gold,9.0,153,2477,28678
-295370,F Racing #Divoy,603276,André Fernandes,Gold,7.0,134,2091,28678
-295370,F Racing #Divoy,524155,Hugo Miguel Pereira,Gold,0.0,0,0,28678
