team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-243021,,675666,Claus Christensen,2437,242.6669,30,242.425155,20,202.3978229882951,7280.007,4848.5031,33.0
-298040,,665755,Manuel Roig,2111,246.1364,29,241.3155052631579,19,203.3285161518838,7137.9556,4584.9946,32.0
-298040,,665522,Víctor Sánchez Fernández,2084,247.1933,28,241.09262083333334,24,203.51648855947116,6921.4124,5786.222900000001,31.0
-298040,,384294,Sergio Gomez Redondo,1621,244.1506,24,240.2368625,16,204.24144362774467,5859.6144,3843.7898,26.0
-257829,,515776,Rui Filipe Pinheiro,2147,241.4131,38,240.08353666666667,30,204.37187943346552,9173.6978,7202.5061000000005,42.0
-257829,,201606,Manuel M Cruz,1759,242.3111,25,241.46764,20,203.20041066206636,6057.7775,4829.3528,27.0
-257829,,461417,Jorge  Mendes Pinheiro,2940,245.1427,13,238.50472000000002,10,205.7247487999399,3186.8550999999998,2385.0472,14.0
-299312,,732337,Davide De Marco2,1539,240.5644,13,238.55405,10,205.68220748966536,3127.3372,2385.5405,14.0
-299312,,605082,Mich Comazzetto,1912,0.0,5,0.0,0,inf,0.0,0.0,5.0
-306961,,867228,Fabian Sodke,1523,261.7012,10,240.6748,5,203.86980111586257,2617.0119999999997,1203.374,11.0
-158916,,413828,Justas Staciokas,3109,261.7325,9,240.97875,4,203.61265717246854,2355.5925,963.915,10.0
-305563,,707718,Patrick Heit,1716,0.0,0,0.0,0,inf,0.0,0.0,0.0
