team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage,total_session_time
-129672,LEO RACING TEAM #208,443123,Alessio Bernardini,7646,240.7146,65,235.5747274509804,51,208.2834782003939,15646.448999999999,12014.311099999999,71.0,215479284
-129672,LEO RACING TEAM #208,607475,Lorenzo Castellani,6037,238.7025,26,235.73013500000002,20,208.14616514600476,6206.264999999999,4714.6027,29.0,215479284
-96989,Chicane Online Racing Red,310170,Alex Gal,8085,240.4205,52,235.6918552631579,38,208.17997106779868,12501.866,8956.2905,57.0,215479284
-96989,Chicane Online Racing Red,366403,Nils Corr,5331,238.6162,39,236.606309375,32,207.37538123649205,9306.031799999999,7571.4019,43.0,215479284
-110547,Carbono eSports,626532,Bruno Ciccioli,7426,239.6505,37,235.85173225806454,31,208.03885195090513,8867.0685,7311.403700000001,41.0,215479284
-110547,Carbono eSports,364474,Rubens Llorente,5451,241.8022,28,236.27174583333334,24,207.6690271896137,6770.4616,5670.5219,31.0,215479284
-110547,Carbono eSports,633220,Gerard Sardeny Saez,5268,239.2828,26,236.47703181818184,22,207.48874946690478,6221.352800000001,5202.4947,29.0,215479284
-223528,SimVision,465352,Filipe RC Barreto,6182,240.9088,77,236.19505806451613,62,207.73645313187566,18549.977600000002,14644.0936,85.0,215479284
-223528,SimVision,339819,Joao Reis,4427,239.3362,14,239.01249166666665,12,205.28769549848147,3350.7068,2868.1499,15.0,215479284
-299638,Ingersoll Rand Enosis eSports #215,606742,Raul Ontañon,5360,239.7884,37,236.29666129032256,31,207.6471302711948,8872.1708,7325.196499999999,41.0,215479284
-299638,Ingersoll Rand Enosis eSports #215,593886,Jorge Sánchez Rodríguez,5789,240.3277,27,237.66708695652173,23,206.44980437941786,6488.8479,5466.343,30.0,215479284
-299638,Ingersoll Rand Enosis eSports #215,273285,Ale G Torres,5730,243.1802,26,236.990915,20,207.03883779511128,6322.6852,4739.8183,29.0,215479284
-286482,Kairos eSports #229,462694,David Prevautel,5718,241.6637,52,237.02859249999997,40,207.00592739502517,12566.5124,9481.143699999999,57.0,215479284
-286482,Kairos eSports #229,211521,Théo Pastaga,4163,240.0087,38,237.938928125,32,206.2139389979233,9120.3306,7614.0457,42.0,215479284
-134184,GROW RACING TEAM RED,380755,Pedro T Martins,4617,243.1335,39,237.37368484848486,33,206.70498349856655,9482.2065,7833.3316,43.0,215479284
-134184,GROW RACING TEAM RED,676270,Cassio Medeiros,3123,242.3228,26,239.24915499999997,20,205.08462656681067,6300.3928,4784.9830999999995,29.0,215479284
-134184,GROW RACING TEAM RED,667770,Pedro Daniel Paquete,5534,240.8511,25,237.95534285714285,21,206.19971386419806,6021.2775,4997.0622,27.0,215479284
-129653,Octopus Racing Team,649681,Joselu Otero,3482,239.813,52,237.90411707317074,41,206.24411302015832,12470.276,9754.068800000001,57.0,215479284
-129653,Octopus Racing Team,365305,Davo Ramos,3987,240.8754,38,238.399071875,32,205.81591708262602,9153.2652,7628.7703,42.0,215479284
-257830,SR TECHNIC,530634,Nuno Vinagre,3467,240.0178,37,238.01726333333332,30,206.14607076161803,8880.6586,7140.5179,41.0,215479284
-257830,SR TECHNIC,613054,Luis Marinho,3605,244.6198,27,238.12070434782606,23,206.05651971333066,6604.7346,5476.776199999999,30.0,215479284
-257830,SR TECHNIC,491790,Sérgio Vieira,3196,241.6732,26,238.7548727272727,22,205.50920301278194,6283.5032,5252.6071999999995,29.0,215479284
-278379,Platinum Racing Team Orange,389317,Steven Bird2,3638,243.2,52,238.49667250000002,40,205.7316904897279,12646.4,9539.8669,57.0,215479284
-278379,Platinum Racing Team Orange,416545,Martin Hobson,2968,240.8056,38,238.8625290322581,31,205.41657918632208,9150.6128,7404.738400000001,42.0,215479284
-62993,Fury Simsport Academy,656823,Rink Wilbrink3,3082,243.3482,49,238.96618048780485,41,205.32747985275682,11924.0618,9797.613399999998,54.0,215479284
-62993,Fury Simsport Academy,722391,Matthew Luke Sr,2342,239.1333,14,238.81439166666664,12,205.4579846179706,3347.8662,2865.7726999999995,15.0,215479284
-62993,Fury Simsport Academy,81643,Bryan Krauss,3029,239.2267,14,238.70421666666664,12,205.5528146707086,3349.1738,2864.4505999999997,15.0,215479284
-62993,Fury Simsport Academy,651954,Cade Middleton,2928,239.348,13,239.06978181818184,11,205.23850081109828,3111.5240000000003,2629.7676,14.0,215479284
-127445,LEO RACING TEAM #221,758401,Alessio Bonino,5847,242.8422,51,238.78111428571427,42,205.48661796966718,12384.9522,10028.806799999998,56.0,215479284
-127445,LEO RACING TEAM #221,110954,Gaetano Vulcano2,6255,244.0131,39,239.25478666666666,30,205.07979920986884,9516.510900000001,7177.643599999999,43.0,215479284
-247532,Krips Racing Green,813496,Emre Kemaldar,3615,242.5813,52,239.21561707317073,41,205.1133793434218,12614.2276,9807.8403,57.0,215479284
-247532,Krips Racing Green,275038,Christian Glåmseter,3448,239.1177,37,238.748055,20,205.51507156613278,8847.3549,4774.9610999999995,41.0,215479284
-258771,PROTOSIM #2,796249,Guilherme Costa Reis,3036,241.9019,37,239.70803703703703,27,204.6920254159806,8950.3703,6472.117,41.0,215479284
-258771,PROTOSIM #2,775547,André Rosa,3013,239.4223,26,239.06535,22,205.24230554365155,6224.9798,5259.4376999999995,29.0,215479284
-258771,PROTOSIM #2,648414,Cristiano Rocha,3925,243.5206,26,239.42078999999998,20,204.93760633569042,6331.5356,4788.4158,29.0,215479284
-175849,Maniti Racing Yellow,314054,Jan-Eike Zanders,2310,240.33,38,239.63369655172414,29,204.75552610360538,9132.54,6949.3772,42.0,215479284
-175849,Maniti Racing Yellow,364155,Stefan Schuster,3008,243.3436,38,240.18577826086957,23,204.28488299714522,9247.0568,5524.2729,42.0,215479284
-175849,Maniti Racing Yellow,390076,Stefan Kurzmann,3573,247.0328,13,239.65257000000003,10,204.73940091524995,3211.4264000000003,2396.5257,14.0,215479284
-264062,Team Upstate GT3,478574,Matias Nievas Soto,2157,245.3952,37,240.47024814814813,27,204.04321943133434,9079.6224,6492.6966999999995,41.0,215479284
-264062,Team Upstate GT3,671627,Justin Cole6,1815,243.6402,26,240.50446923076925,13,204.01418637472307,6334.6452,3126.5581,29.0,215479284
-264062,Team Upstate GT3,376880,Shawn Crowley2,1860,241.1095,26,240.7604611111111,18,203.79726547772253,6268.847,4333.6883,29.0,215479284
-299092,YS Sim-Sport PEC,327245,Paolo Ernesto Taddeolini,3227,244.773,52,239.75303414634143,41,204.65360859479551,12728.196,9829.874399999999,57.0,215479284
-299092,YS Sim-Sport PEC,564555,Mauro Dragoni,2632,246.494,37,240.82181785714286,28,203.74534187224882,9120.278,6743.0109,41.0,215479284
-252527,Krips Racing Blue,857753,Afonso Souto,2138,244.2686,39,239.51282,30,204.8588614571863,9526.4754,7185.3846,43.0,215479284
-252527,Krips Racing Blue,831421,Christian Hindsch,2083,242.6919,26,241.21557647058825,17,203.41274940668157,6309.9894,4100.6648000000005,29.0,215479284
-252527,Krips Racing Blue,614536,Louis Greig,2190,240.8384,24,240.6984,18,203.84981208682737,5780.1216,4332.5712,26.0,215479284
-218497,Blue Chip Racing,146465,Thomas R Dunn,3196,249.0138,45,239.4292074074074,27,204.93040151993586,11205.621000000001,6464.5886,49.0,215479284
-218497,Blue Chip Racing,435833,Nicholas Larsen,3345,242.3401,44,239.1180088235294,34,205.19710686371286,10662.9644,8130.0123,48.0,215479284
-214868,PeakSimsportAustria,332166,Mathias Saurer,2156,244.649,50,240.42360263157897,38,204.0828066485153,12232.45,9136.0969,55.0,215479284
-214868,PeakSimsportAustria,113603,Norbert Windholz,2656,243.7905,39,239.59333703703703,27,204.7900171865597,9507.8295,6469.0201,43.0,215479284
-257782,PROTOSIM #3,777046,Ruben Carrapato,2342,243.5589,36,241.3067407407407,27,203.33590126401288,8768.1204,6515.281999999999,40.0,215479284
-257782,PROTOSIM #3,823793,Luciano Gomes,2087,243.426,26,243.02969090909093,22,201.89435877591612,6329.076,5346.653200000001,29.0,215479284
-257782,PROTOSIM #3,608985,Ricardo Varão,1652,248.7641,13,240.87266666666665,9,203.70233073186665,3233.9333,2167.854,14.0,215479284
-257782,PROTOSIM #3,149607,Pedro Bragança,1805,244.2556,13,243.92495454545454,11,201.15335760145308,3175.3228,2683.1745,14.0,215479284
-302748,Platinum Racing Team White,373409,Sek-Yin Ho,4454,241.0404,46,236.853575,24,207.15888966252675,11087.858400000001,5684.4858,51.0,215479284
-302748,Platinum Racing Team White,662261,David Flores M. Pires,2124,241.4011,41,239.16087586206896,29,205.16032746885398,9897.4451,6935.6654,45.0,215479284
-159910,Austrian Simracers Red,409965,Thomas Pieber,3981,241.9782,35,237.44795,24,206.64033363775096,8469.237,5698.7508,38.0,215479284
-159910,Austrian Simracers Red,347495,Marko Zeiler,3650,237.58,26,237.2547727272727,22,206.80858406166752,6177.08,5219.605,29.0,215479284
-159910,Austrian Simracers Red,420543,Pascal Haß,4242,237.9599,26,237.62532000000002,20,206.4860916740691,6186.9574,4752.5064,29.0,215479284
-159911,Austrian Simracers Blue,685554,Chris Mayr,2935,244.5475,48,240.49876129032256,31,204.01902839893913,11738.28,7455.4616,53.0,215479284
-159911,Austrian Simracers Blue,580583,Benedikt Hochleitner,2134,242.7728,39,240.16117999999997,25,204.30580666534036,9468.1392,6004.0295,43.0,215479284
-280178,Trackside Esports,127270,Simon Van  Dijk,2899,255.3807,47,239.3968,31,204.95814317317524,12002.892899999999,7421.3008,52.0,215479284
