team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage,total_session_time
-223528,SimVision,465352,Filipe RC Barreto,6182,237.3683,9,236.19505806451613,62,207.73645313187566,2136.3147,14644.0936,56.0,14670572
-129672,LEO RACING TEAM #208,443123,Alessio Bernardini,7646,235.514,4,235.5747274509804,51,208.2834782003939,942.056,12014.311099999999,25.0,14670572
-129672,LEO RACING TEAM #208,607475,Lorenzo Castellani,6037,237.4334,3,235.73013500000002,20,208.14616514600476,712.3002,4714.6027,19.0,14670572
-299638,Ingersoll Rand Enosis eSports #215,273285,Ale G Torres,5730,238.7607,6,236.990915,20,207.03883779511128,1432.5642,4739.8183,38.0,14670572
-110547,Carbono eSports,364474,Rubens Llorente,5451,245.1341,5,236.27174583333334,24,207.6690271896137,1225.6705,5670.5219,31.0,14670572
-110547,Carbono eSports,621443,Roberto C Freezer,7166,237.3247,2,0.0,0,inf,474.6494,0.0,12.0,14670572
-214868,PeakSimsportAustria,113603,Norbert Windholz,2656,237.7593,13,239.59333703703703,27,204.7900171865597,3090.8709,6469.0201,81.0,14670572
-214868,PeakSimsportAustria,332166,Mathias Saurer,2156,240.0344,3,240.42360263157897,38,204.0828066485153,720.1032,9136.0969,19.0,14670572
-134184,GROW RACING TEAM RED,380755,Pedro T Martins,4617,238.5516,8,237.37368484848486,33,206.70498349856655,1908.4128,7833.3316,50.0,14670572
-158916,Over The Limit racing,413828,Justas Staciokas,3174,238.1605,6,240.97875,4,203.61265717246854,1428.9630000000002,963.915,38.0,14670572
-158916,Over The Limit racing,395823,Justas Pirinauskas,2459,238.9091,7,0.0,0,inf,1672.3636999999999,0.0,44.0,14670572
-159910,Austrian Simracers Red,347495,Marko Zeiler,3650,237.3411,4,237.2547727272727,22,206.80858406166752,949.3644,5219.605,25.0,14670572
-159910,Austrian Simracers Red,409965,Thomas Pieber,3981,237.4029,9,237.44795,24,206.64033363775096,2136.6261,5698.7508,56.0,14670572
-247532,Krips Racing Green,813496,Emre Kemaldar,3615,239.3785,7,239.21561707317073,41,205.1133793434218,1675.6495,9807.8403,44.0,14670572
-129653,Octopus Racing Team,649681,Joselu Otero,3482,239.5772,5,237.90411707317074,41,206.24411302015832,1197.886,9754.068800000001,31.0,14670572
-129653,Octopus Racing Team,365305,Davo Ramos,3987,238.6031,5,238.399071875,32,205.81591708262602,1193.0155,7628.7703,31.0,14670572
-175849,Maniti Racing Yellow,390076,Stefan Kurzmann,3573,237.5696,6,239.65257000000003,10,204.73940091524995,1425.4176,2396.5257,38.0,14670572
-96989,Chicane Online Racing Red,366403,Nils Corr,5331,237.4455,2,236.606309375,32,207.37538123649205,474.891,7571.4019,12.0,14670572
-96989,Chicane Online Racing Red,310170,Alex Gal,8085,242.7473,3,235.6918552631579,38,208.17997106779868,728.2419,8956.2905,19.0,14670572
-299092,YS Sim-Sport PEC,327245,Paolo Ernesto Taddeolini,3227,240.3357,6,239.75303414634143,41,204.65360859479551,1442.0142,9829.874399999999,38.0,14670572
-159911,Austrian Simracers Blue,685554,Chris Mayr,2935,240.3703,9,240.49876129032256,31,204.01902839893913,2163.3327,7455.4616,56.0,14670572
-159911,Austrian Simracers Blue,580583,Benedikt Hochleitner,2134,239.2978,3,240.16117999999997,25,204.30580666534036,717.8933999999999,6004.0295,19.0,14670572
-140651,Chicane Online Racing Orange,392848,Ingmar Hamberg,1998,239.1345,4,239.36505428571425,35,204.9853256818047,956.538,8377.776899999999,25.0,14670572
-278379,Platinum Racing Team Orange,416545,Martin Hobson,2968,238.0966,2,238.8625290322581,31,205.41657918632208,476.1932,7404.738400000001,12.0,14670572
-278379,Platinum Racing Team Orange,389317,Steven Bird2,3638,0.0,1,238.49667250000002,40,205.7316904897279,0.0,9539.8669,6.0,14670572
-257830,SR TECHNIC,491790,Sérgio Vieira,3196,240.9423,2,238.7548727272727,22,205.50920301278194,481.8846,5252.6071999999995,12.0,14670572
-257830,SR TECHNIC,613054,Luis Marinho,3605,0.0,2,238.12070434782606,23,206.05651971333066,0.0,5476.776199999999,12.0,14670572
-257830,SR TECHNIC,530634,Nuno Vinagre,3467,0.0,0,238.01726333333332,30,206.14607076161803,0.0,7140.5179,0.0,14670572
-297670,TR Geekz Energy Simracing GT3,575026,Daniel K Kühn,2260,238.5992,2,240.50072250000002,40,204.01736468629525,477.1984,9620.028900000001,12.0,14670572
-297670,TR Geekz Energy Simracing GT3,638166,Kaan Tunc,2267,0.0,0,243.30124285714285,14,201.66902163508414,0.0,3406.2174,0.0,14670572
-127445,LEO RACING TEAM #221,110954,Gaetano Vulcano2,6255,243.7632,3,239.25478666666666,30,205.07979920986884,731.2896000000001,7177.643599999999,19.0,14670572
-252527,Krips Racing Blue,831421,Christian Hindsch,2083,243.198,3,241.21557647058825,17,203.41274940668157,729.594,4100.6648000000005,19.0,14670572
-252527,Krips Racing Blue,857753,Afonso Souto,2138,242.1767,2,239.51282,30,204.8588614571863,484.3534,7185.3846,12.0,14670572
-252527,Krips Racing Blue,614536,Louis Greig,2190,247.665,4,240.6984,18,203.84981208682737,990.66,4332.5712,25.0,14670572
-299312,CM x MSi Gaming GT3,732337,Davide De Marco2,2429,239.1737,2,238.55405,10,205.68220748966536,478.3474,2385.5405,12.0,14670572
-299312,CM x MSi Gaming GT3,605082,Mich Comazzetto,2073,0.0,0,0.0,0,inf,0.0,0.0,0.0,14670572
